sir_level_db,overlap_ratio,wer,cer,leakage_rate,wer_median,cer_median,wer_std,cer_std,n_samples
0,0.1,0.13472847273010363,0.06144263084922707,0.013027951247832268,0.1,0.04838709677419355,0.15818601644564304,0.07071371740569278,103
0,0.2,0.23799254560901015,0.15653868539647728,0.027344308915600246,0.18181818181818182,0.09803921568627451,0.4544164527071281,0.3828133180353013,90
0,0.3,0.5107477397096856,0.356696646325364,0.08756051949535149,0.3333333333333333,0.18450184501845018,1.2857387185500802,0.9899606320232248,105
0,0.4,0.47570979323946005,0.31690391902028575,0.0985271858572513,0.3958333333333333,0.2755102040816326,0.5899388594520336,0.4244525687387343,89
0,0.5,1.7936131224126919,1.2972457544934415,0.14040441506982715,0.5108695652173914,0.31288819875776397,5.868191487320237,4.4147730463089205,98
0,1.0,1.1250533973431076,0.8540450413432976,0.2669913230391337,0.9090909090909091,0.7045454545454546,1.8942036247774374,1.3991152983362918,111
5,0.1,0.09705782930577093,0.03986133223093209,0.0096120671101885,0.043478260869565216,0.022988505747126436,0.14486644533340426,0.06006148772873162,97
5,0.2,0.1363686238125084,0.07135256083343812,0.024242482729594214,0.1,0.05555555555555555,0.13620539697969758,0.07911796007722012,105
5,0.3,0.26444189619012054,0.15258453205459444,0.04699714905362001,0.2,0.10909090909090909,0.23839141765888514,0.15048439424223187,117
5,0.4,0.25386558309518825,0.150728651189882,0.03209130232767878,0.23076923076923078,0.12475685234305925,0.24899996582662837,0.17101934291165458,118
5,0.5,0.36718388893698867,0.24843013921064835,0.04353169993991748,0.2777777777777778,0.15920398009950248,0.6348541543234971,0.5483751536066405,115
5,1.0,0.921994194880023,0.6873068288752497,0.09410136924814372,0.575187969924812,0.3897569444444444,2.296982613518078,1.7860261703037192,102
