sir_level_db,overlap_ratio,wer,cer,leakage_rate,wer_median,cer_median,wer_std,cer_std,n_samples
0,0.1,0.12427783123031873,0.0534591926495754,0.0085648829673983,0.09090909090909091,0.034722222222222224,0.15017052785980242,0.06820050018372781,103
0,0.2,0.2261523131907413,0.12113301369591495,0.013509588567722004,0.1905241935483871,0.08335260115606936,0.5002244486861838,0.2636065286520492,90
0,0.3,0.24751322198434053,0.1479268647318108,0.02702463432269497,0.21052631578947367,0.11864406779661017,0.20578695794088955,0.1376854091618434,105
0,0.4,0.5547993628351491,0.3382471668250179,0.04349590387816787,0.3333333333333333,0.20175438596491227,1.9880834757768313,1.2120344715349263,89
0,0.5,1.180695491014289,0.8560301051530377,0.046325403548034175,0.3861283643892339,0.2403846153846154,3.3555927932331158,2.7323806300458435,98
0,1.0,1.2837129527268416,0.9914924529030741,0.0996874402618247,0.627906976744186,0.4342105263157895,3.2274080372271894,2.8051736190933325,111
5,0.1,0.09076463668748257,0.03678204329763658,0.011575739176953351,0.045454545454545456,0.016877637130801686,0.12591668050062355,0.057116617775519865,97
5,0.2,0.11492106715632318,0.0554199739981997,0.005668934240362812,0.08333333333333333,0.039473684210526314,0.12606655600104993,0.0627806592664455,105
5,0.3,0.24862970785087532,0.13392628925064637,0.018949568555671762,0.17857142857142858,0.0707070707070707,0.3238201292010228,0.18570323427646213,117
5,0.4,0.22872618130333144,0.13441266053588755,0.024414465709773337,0.18181818181818182,0.09796081567373051,0.2566374585347252,0.1697374296171556,118
5,0.5,0.24690569554436362,0.14115771338671587,0.022857359856414676,0.2,0.0945273631840796,0.21740300557749812,0.1501366045662283,115
5,1.0,0.419210388107583,0.2673256202245815,0.03773608128599759,0.3458041958041958,0.2055365296803653,0.2999807722510083,0.20903862570086656,102
