sir_level_db,overlap_ratio,wer,cer,leakage_rate
0,0.1,0.13472847273010363,0.06144263084922707,0.013027951247832268
0,0.2,0.23799254560901015,0.15653868539647728,0.027344308915600246
0,0.3,0.5107477397096856,0.356696646325364,0.08756051949535149
0,0.4,0.47570979323946005,0.31690391902028575,0.0985271858572513
0,0.5,1.7936131224126919,1.2972457544934415,0.14040441506982715
0,1.0,1.1250533973431076,0.8540450413432976,0.2669913230391337
5,0.1,0.09705782930577093,0.03986133223093209,0.0096120671101885
5,0.2,0.1363686238125084,0.07135256083343812,0.024242482729594214
5,0.3,0.26444189619012054,0.15258453205459444,0.04699714905362001
5,0.4,0.25386558309518825,0.150728651189882,0.03209130232767878
5,0.5,0.36718388893698867,0.24843013921064835,0.04353169993991748
5,1.0,0.921994194880023,0.6873068288752497,0.09410136924814372
